epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.001,0.9857913144641453,0.814,0.8856014987945556,0.8554
2,0.0009755282581475768,0.874105520884196,0.8583333333333333,0.8618009521484375,0.8626
3,0.0009045084971874736,0.8491013787163628,0.8676222222222222,0.8550634155273438,0.8618
4,0.0007938926261462366,0.8338843359629313,0.8726,0.842931776714325,0.8676
5,0.0006545084971874737,0.8265403404871623,0.8766444444444444,0.8307518147468567,0.872
6,0.0005,0.8120268910090128,0.8810888888888889,0.8246888355255126,0.875
7,0.00034549150281252633,0.8031577111138238,0.887,0.821187281036377,0.8758
8,0.0002061073738537635,0.7957197665956285,0.8896,0.8157622434616089,0.8768
9,9.549150281252634e-05,0.7885891439225938,0.8939333333333334,0.8139318111419678,0.8804
10,2.4471741852423235e-05,0.7861394063101874,0.8941777777777777,0.8153419528961182,0.8776
